         449974 function calls (425687 primitive calls) in 0.343 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      167    0.030    0.000    0.030    0.000 {method 'read' of '_io.BufferedReader' objects}
    24/21    0.029    0.001    0.030    0.001 {built-in method _imp.create_dynamic}
 4770/200    0.026    0.000    0.074    0.000 _parser.py:511(_parse)
 5535/192    0.019    0.000    0.042    0.000 _compiler.py:37(_compile)
      167    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
        1    0.012    0.012    0.012    0.012 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       24    0.011    0.000    0.011    0.000 {built-in method _imp.exec_dynamic}
  541/536    0.010    0.000    0.059    0.000 {built-in method builtins.__build_class__}
    69297    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    29639    0.009    0.000    0.013    0.000 _parser.py:167(__getitem__)
62024/55692    0.008    0.000    0.010    0.000 {built-in method builtins.len}
 5488/379    0.007    0.000    0.009    0.000 _parser.py:177(getwidth)
      904    0.006    0.000    0.010    0.000 _compiler.py:241(_optimize_charset)
 1278/192    0.006    0.000    0.075    0.000 _parser.py:451(_parse_sub)
        1    0.006    0.006    0.054    0.054 dammit.py:128(_populate_class_variables)
      167    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
       22    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
    16820    0.005    0.000    0.008    0.000 _parser.py:260(get)
  632/603    0.005    0.000    0.007    0.000 {built-in method __new__ of type object at 0x105147cf0}
    37665    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    25677    0.004    0.000    0.004    0.000 _parser.py:239(__next)
      956    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    12802    0.003    0.000    0.004    0.000 _parser.py:163(__len__)
    13280    0.003    0.000    0.004    0.000 _parser.py:255(match)
      487    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     2528    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     7467    0.002    0.000    0.003    0.000 _parser.py:175(append)
      125    0.002    0.000    0.005    0.000 _compiler.py:470(_get_charset_prefix)
       93    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      258    0.002    0.000    0.132    0.001 __init__.py:330(_compile)
    14534    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       16    0.002    0.000    0.004    0.000 enum.py:1751(convert_class)
     2871    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     4327    0.001    0.000    0.002    0.000 _parser.py:292(tell)
     9100    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6025    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      167    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      904    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      261    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
3071/3003    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     6209    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
      273    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      219    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      341    0.001    0.000    0.004    0.000 css_parser.py:1108(selector_iter)
    222/2    0.001    0.000    0.342    0.171 <frozen importlib._bootstrap>:1349(_find_and_load)
      167    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
    169/1    0.001    0.000    0.343    0.343 {built-in method builtins.exec}
     5390    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1058    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
       17    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      192    0.001    0.000    0.009    0.000 _compiler.py:514(_compile_info)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      334    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
     3738    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      284    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
    221/2    0.001    0.000    0.342    0.171 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      949    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
     4458    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      195    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    56/16    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
      215    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
     4258    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      192    0.001    0.000    0.128    0.001 _compiler.py:743(compile)
     3826    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      802    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1364    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
      781    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
       34    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     2447    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    463/4    0.001    0.000    0.341    0.085 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    195/2    0.001    0.000    0.342    0.171 <frozen importlib._bootstrap>:911(_load_unlocked)
       10    0.001    0.000    0.003    0.000 enum.py:896(_convert_)
      261    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      118    0.001    0.000    0.003    0.000 typing.py:1423(__init__)
     1006    0.001    0.000    0.001    0.000 _compiler.py:401(_simple)
       22    0.000    0.000    0.805    0.037 __init__.py:1(<module>)
       15    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 entities.py:1(<module>)
     3214    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      192    0.000    0.000    0.075    0.000 _parser.py:970(parse)
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
      580    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      167    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      911    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      876    0.000    0.000    0.001    0.000 enum.py:1587(_get_value)
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
     1006    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     1502    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1137    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      167    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      190    0.000    0.000    0.001    0.000 enum.py:1605(__and__)
     2658    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      336    0.000    0.000    0.000    0.000 enum.py:827(__setattr__)
     1543    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      501    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      334    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
  195/191    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      955    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
    167/2    0.000    0.000    0.342    0.171 <frozen importlib._bootstrap_external>:1020(exec_module)
      192    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      192    0.000    0.000    0.052    0.000 _compiler.py:576(_code)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        6    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
      261    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
  215/177    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
  733/676    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  234/212    0.000    0.000    0.006    0.000 typing.py:426(inner)
      746    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      191    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      182    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
       56    0.000    0.000    0.003    0.000 typing.py:753(Union)
      124    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
