         417633 function calls (394470 primitive calls) in 0.289 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23/21    0.025    0.001    0.026    0.001 {built-in method _imp.create_dynamic}
 4658/169    0.024    0.000    0.072    0.000 _parser.py:511(_parse)
      129    0.024    0.000    0.024    0.000 {method 'read' of '_io.BufferedReader' objects}
 5336/163    0.018    0.000    0.040    0.000 _compiler.py:37(_compile)
      129    0.013    0.000    0.013    0.000 {built-in method marshal.loads}
    66036    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    28344    0.008    0.000    0.012    0.000 _parser.py:167(__getitem__)
  418/416    0.008    0.000    0.056    0.000 {built-in method builtins.__build_class__}
       23    0.008    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
59217/53109    0.008    0.000    0.009    0.000 {built-in method builtins.len}
 5248/308    0.006    0.000    0.008    0.000 _parser.py:177(getwidth)
      778    0.006    0.000    0.009    0.000 _compiler.py:241(_optimize_charset)
 1189/163    0.006    0.000    0.073    0.000 _parser.py:451(_parse_sub)
    35563    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    14415    0.005    0.000    0.007    0.000 _parser.py:260(get)
      129    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
       18    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
    23088    0.004    0.000    0.004    0.000 _parser.py:239(__next)
        1    0.004    0.004    0.053    0.053 dammit.py:128(_populate_class_variables)
     7110    0.004    0.000    0.005    0.000 _parser.py:175(append)
    12567    0.003    0.000    0.004    0.000 _parser.py:255(match)
    12357    0.003    0.000    0.004    0.000 _parser.py:163(__len__)
      780    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      409    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
     2100    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      107    0.002    0.000    0.004    0.000 _compiler.py:470(_get_charset_prefix)
      226    0.002    0.000    0.126    0.001 __init__.py:330(_compile)
       83    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
    14100    0.002    0.000    0.002    0.000 {built-in method builtins.min}
       16    0.002    0.000    0.004    0.000 enum.py:1751(convert_class)
     2871    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
  538/528    0.001    0.000    0.003    0.000 {built-in method __new__ of type object at 0x1016c3cf0}
     4041    0.001    0.000    0.002    0.000 _parser.py:292(tell)
     8748    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     5621    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      258    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      778    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
      341    0.001    0.000    0.004    0.000 css_parser.py:1108(selector_iter)
     5993    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
      209    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      209    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
     2487    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      176    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    178/2    0.001    0.000    0.289    0.145 <frozen importlib._bootstrap>:1349(_find_and_load)
       17    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
      129    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      277    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
      989    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
       63    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     4458    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3444    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      163    0.001    0.000    0.009    0.000 _compiler.py:514(_compile_info)
    56/16    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
    131/1    0.001    0.000    0.289    0.289 {built-in method builtins.exec}
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
     3818    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      258    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      756    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
     1268    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
       34    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
     4144    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      709    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      163    0.001    0.000    0.123    0.001 _compiler.py:743(compile)
      172    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       10    0.001    0.000    0.003    0.000 enum.py:896(_convert_)
     3490    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      901    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
    373/4    0.001    0.000    0.287    0.072 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    178/2    0.001    0.000    0.289    0.145 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      156    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2145    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 entities.py:1(<module>)
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
     3156    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      917    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
       12    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
    156/2    0.000    0.000    0.289    0.144 <frozen importlib._bootstrap>:911(_load_unlocked)
      886    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
      114    0.000    0.000    0.003    0.000 typing.py:1423(__init__)
      957    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      129    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      163    0.000    0.000    0.074    0.000 _parser.py:970(parse)
      129    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       18    0.000    0.000    0.623    0.035 __init__.py:1(<module>)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      756    0.000    0.000    0.001    0.000 enum.py:1587(_get_value)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1175    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      162    0.000    0.000    0.001    0.000 enum.py:1605(__and__)
        6    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
      311    0.000    0.000    0.000    0.000 enum.py:827(__setattr__)
     1345    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      412    0.000    0.000    0.000    0.000 _parser.py:264(getwhile)
     2210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      163    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      129    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
  156/153    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.000    0.000 models.py:13(CharsetMatch)
      821    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
  733/676    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.000    0.000 retry.py:41(Retry)
       55    0.000    0.000    0.003    0.000 typing.py:753(Union)
      163    0.000    0.000    0.049    0.000 _compiler.py:576(_code)
      780    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      387    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
  187/152    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
    129/2    0.000    0.000    0.288    0.144 <frozen importlib._bootstrap_external>:1020(exec_module)
      697    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      120    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        7    0.000    0.000    0.000    0.000 _parser.py:894(_parse_flags)
     1637    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
  224/202    0.000    0.000    0.006    0.000 typing.py:426(inner)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      324    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
      129    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      118    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
