         398365 function calls (398313 primitive calls) in 1.398 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.398    1.398 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/src/ex04/financial_enhanced.py:18(parser)
        1    0.000    0.000    1.170    1.170 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/_request_methods.py:69(request)
        1    0.000    0.000    1.170    1.170 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/_request_methods.py:147(request_encode_url)
        1    0.000    0.000    1.170    1.170 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/poolmanager.py:409(urlopen)
        1    0.000    0.000    1.169    1.169 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/connectionpool.py:592(urlopen)
        1    0.000    0.000    1.169    1.169 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/connectionpool.py:377(_make_request)
        1    0.000    0.000    1.086    1.086 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/connection.py:485(getresponse)
      936    0.002    0.000    1.084    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/socket.py:706(readinto)
      936    0.003    0.000    1.079    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1289(recv_into)
      936    0.002    0.000    1.075    0.001 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:1129(read)
      936    1.074    0.001    1.074    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.806    0.806 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:1386(getresponse)
        1    0.000    0.000    0.806    0.806 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:324(begin)
       26    0.000    0.000    0.805    0.031 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.775    0.775 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:291(_read_status)
        4    0.002    0.000    0.280    0.070 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.280    0.280 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/response.py:577(__init__)
        1    0.000    0.000    0.280    0.280 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/response.py:916(read)
        1    0.000    0.000    0.280    0.280 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/response.py:864(_raw_read)
        1    0.000    0.000    0.280    0.280 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/urllib3/response.py:807(_fp_read)
        1    0.000    0.000    0.280    0.280 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:463(read)
        1    0.000    0.000    0.280    0.280 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:635(_safe_read)
        1    0.000    0.000    0.208    0.208 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/__init__.py:209(__init__)
        1    0.000    0.000    0.205    0.205 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/__init__.py:650(_feed)
        1    0.000    0.000    0.205    0.205 /Users/polina/DS_bootcamp/DS_Bootcamp.Day03.ID_886513-1/pasquald/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:449(feed)
